run,type,module,name,attrname,attrvalue,value
General-7-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-7-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-8-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.0077314444494
General-8-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-8-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-8-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-9-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.0064190215286
General-9-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-9-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-9-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-10-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.0294263511002
General-10-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-10-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-10-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-11-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.045883382937
General-11-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-11-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-11-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-12-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.0418632481936
General-12-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-12-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-12-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-13-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.0506181133179
General-13-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-13-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-13-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-14-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.0585249445114
General-14-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-14-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-14-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-15-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.1237565519258
General-15-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-15-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-15-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-16-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.1045088911566
General-16-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-16-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-16-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-17-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.1295694576013
General-17-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-17-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-17-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-18-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.1046995304491
General-18-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-18-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-18-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-19-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.1168403940816
General-19-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-19-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-19-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-20-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.3056473630041
General-20-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-20-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-20-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-21-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.2451342814921
General-21-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-21-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-21-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-22-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.2519076080919
General-22-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-22-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-22-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-23-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.1985769044158
General-23-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-23-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-23-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
General-24-20210130-15:15:49-27616,scalar,SimpleQueue.sink,lifeTime:mean,,,1.2455206314458
General-24-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,interpolationmode,none,
General-24-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-24-20210130-15:15:49-27616,attr,SimpleQueue.sink,lifeTime:mean,unit,s,
